STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CMD_COUNT,CMD_ERROR_COUNT,TEMP_0,TEMP_1,MAG_0,MAG_1,MAG_2,GYRO_0,GYRO_1,GYRO_2,GYRO_TEMP,
35, 41, 000, 0, 1, 0078, 10, 005769, 032807, 0003843960, 040500, 0000, 0000, 000018, 000023,      59.23,     293.08,    -245.38,     -18.78,      11.31,       2.55,       3.19, 
35, 41, 000, 0, 1, 0078, 11, 005790, 032807, 0003844170, 039620, 0000, 0032, 000006, 000011,    -457.69,     206.92,     113.08,     -18.34,      11.52,       2.53,       2.00, 
35, 41, 000, 0, 1, 0078, 11, 005811, 000035, 0012231004, 040570, 0000, 0000, -000006, -000001,     -94.15,     490.00,     297.92,     -18.94,      11.24,       2.54,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005812, 000039, 0003844390, 040609, 0000, 0000, -000007, -000002,     -91.54,     483.85,    -113.08,     -18.89,      11.22,       2.58,       0.71, 
35, 41, 000, 0, 1, 0078, 11, 005814, 000007, 0003844154, 040635, 0000, 0000, 000000, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005815, 000039, 0003844420, 040644, 0000, 0000, -000009, -000004,    -168.46,     470.77,    -127.85,     -19.05,      11.08,       2.49,       0.53, 
35, 41, 000, 0, 1, 0078, 11, 005816, 000039, 0003844430, 040507, 0000, 0002, -000009, -000004,    -196.92,     354.62,     180.00,     -19.17,     -11.01,       2.56,       0.47, 
35, 41, 000, 0, 1, 0078, 11, 005817, 002087, 0003844440, 038540, 0000, 0000, -000010, -000005,     -23.08,     546.15,     183.85,     -18.94,      11.10,       2.69,       0.40, 
35, 41, 000, 0, 1, 0078, 11, 005819, 000039, 0003844460, 040395, 0000, 0000, -004107, -004102,    -470.31,     404.62,     220.00,     -22.15,      11.44,       2.64,       0.29, 
35, 41, 000, 0, 1, 0078, 11, 005820, 000039, 0003844470, 039371, 0000, 0000, -000012, -000007,      -3.08,     560.77,       0.00,     -18.20,      11.44,       2.05,       0.23, 
35, 41, 000, 0, 1, 0078, 11, 005821, 000039, 2151328128, 057078, 0000, 0000, -000012, -000007,    -287.69,     432.31,     -86.15,     -18.28,      11.39,       2.62,       0.18, 
35, 41, 000, 0, 1, 0078, 11, 005828, 000039, 0020621766, 040528, 0000, 0000, -000016, -000011,    -153.08,     523.08,     244.62,     -16.86,      11.95,       2.69,      -0.18, 
35, 41, 000, 0, 1, 0078, 11, 005829, 002087, 0003844560, 040076, 0000, 0000, -000017, -000012,     -67.69,     545.38,     -21.54,     -16.72,      12.01,       2.61,      -0.24, 
35, 41, 000, 0, 1, 0078, 11, 005835, 000039, 0003844620, 040500, 0000, 0000, -000019, -000014,    -159.23,     523.08,     -40.77,     -16.39,      12.13,       2.64,       0.51, 
35, 41, 000, 0, 1, 0078, 11, 005773, 000167, 0003844640, 040644, 0000, 0000, -000020, -000015,     -59.23,     574.62,     156.92,     -15.89,      12.26,       2.75,      -0.60, 
35, 41, 000, 0, 1, 0078, 11, 005745, 008231, 0003845000, 040659, 0000, 0000, -000029, -000024,    -362.31,     410.77,     125.38,     -13.12,      12.98,       2.78,      -1.38, 
35, 41, 000, 0, 1, 0078, 11, 005881, 000039, 0003845082, 040455, 0001, 0000, 000007, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005882, 000039, 0003845090, 007739, 0000, 0004, -000030, -000025,    -123.85,     256.62,     313.69,     -12.73,      13.06,       2.71,      -1.42, 
35, 41, 000, 0, 1, 0078, 11, 005883, 000039, 0003843052, 040479, 0000, 0000, -000030, -000027,     201.54,     441.54,     -58.46,     -12.86,      13.04,       2.71,      -1.44, 
35, 41, 000, 0, 1, 0078, 11, 005883, 000160, 0003845103, 039599, 0166, 0010, 000000, 000000, -15552830669342204332594954240.00, -1328165714044576071680.00,       0.00,       0.00,       0.00, -145143677068313511195574272.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005884, 000039, 0003845110, 040500, 0000, 0000, -000030, -000025,    -381.54,     326.92,     -26.92,     -12.98,      13.03,       2.79,      -1.43, 
35, 41, 000, 0, 1, 0078, 11, 005885, 000039, 0003845120, 040525, 0000, 0000, -000030, -000025,      14.62, 1655214309376.00,     383.08,     -12.27,      13.02, 12094344192.00,      -1.44, 
35, 41, 000, 0, 1, 0078, 11, 005891, 000039, 0003845180, 040395, 0000, 0008, -000030, -000025,     269.17,     370.77,     220.77,     -12.51,      13.09,       2.73,      -1.44, 
35, 41, 000, 0, 1, 0078, 11, 005902, 000039, 0003845290, 040907, 0000, 0000, -004126, -000025,     187.69, 4668445447481091686400.00,     352.31, -53518487552.00,      13.09,       2.83,      -1.39, 
35, 41, 000, 0, 1, 0078, 11, 005903, 000039, 0003845300, 040643, 0000, 0000, -000030, -000024,      45.38,     231.54,    -244.62,      -0.00,      13.14,       2.81,      -1.39, 
35, c1, 000, 0, 1, 0078, 11, 005906, 000039, 0003845330, 040588, 0000, 0000, -000030, -000024, -6956898.50,     169.23,    -247.69,     -14.48,      13.10,       2.59,      -1.38, 
35, 41, 000, 0, 1, 0078, 11, 005907, 000039, 0003845340, 040694, 0000, 0000, -000030, -000024,    -275.38,     125.38,     347.69,     -12.24,      13.10,       2.80,      -1.37, 
35, 41, 000, 0, 1, 0078, 11, 005972, 002087, 0003845990, 040395, 0000, 0000, -000019, -000013,     -86.15,    -233.08,      18.46,     -12.03,      13.15,       2.69,      -0.17, 
35, 41, 000, 0, 1, 0078, 11, 005974, 000039, 0003846010, 040395, 0000, 0000, -000018, -000012,     150.77,    -195.38,      -4.62,     -12.29,      13.11,       2.82,      -0.11, 
35, 41, 000, 0, 1, 0078, 11, 005976, 000039, 0003321742, 038596, 0000, 0000, -000018, -000012,     106.92,    -200.78,     233.08,     -11.99,      13.18,       2.79,      -0.05, 
35, 41, 000, 0, 1, 0078, 11, 005977, 000039, 0003846040, 040659, 0000, 0000, -000018, -000011,     108.46,    -186.92,     -59.23,     -12.16,      13.13,       2.71,      -0.02, 
35, 41, 000, 0, 1, 0078, 11, 006002, 000039, 0003846290, 040525, 0000, 0000, -000009, -000003,     365.38,     -17.69,     -95.89,     -12.08,      13.11,       2.69,       0.80, 
35, 41, 000, 0, 1, 0078, 11, 006001, 000035, 0003846300, 040590, 0000, 0000, -000009, -000003,    -390.00,    -121.54,     -48.77,     -12.34,      13.03,       2.75,       0.00, 
