STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CMD_COUNT,CMD_ERROR_COUNT,TEMP_0,TEMP_1,MAG_0,MAG_1,MAG_2,GYRO_0,GYRO_1,GYRO_2,GYRO_TEMP,
35, 41, 000, 0, 1, 0078, 11, 002216, 000167, 0003824814, 040395, 0000, 0000, 000047, 000052,      19.23,    -371.54,    -220.77, -1096917.75,      12.57,       2.66,       6.17, 
35, 41, 000, 0, 1, 0078, 11, 002217, 000007, 0003808440, 040591, 0000, 0000, 000000, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 002218, 000039, 0003808450, 040609, 0000, 0000, 000047, 000053,     133.08,     385.39,     336.15,     -16.85,      12.53,       2.53,       6.22, 
35, 41, 000, 0, 1, 0078, 10, 002241, 000039, 0003808682, 040610, 0000, 0000, 000050, 000055,    -356.92,     -50.77, 3292034500215844110336.00,      -0.00,      12.13,       2.58,       6.49, 
35, 41, 000, 0, 1, 0078, 11, 002246, 000039, 0003808710, 040497, 0000, 0000, 000050, 000056,    -335.38,     -84.62,     176.92,     -18.59,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 002245, 000039, 0003808720, 040522, 0000, 0000, 000050, 000055,     235.38,     148.46,     316.92,     -18.45,      12.00,       2.62,       6.49, 
35, 41, 000, 0, 1, 0078, 11, 002246, 000039, 0003808730, 040588, 0000, 0000, 000050, 000055,      90.00,      87.69,    -226.80,     -18.34,       8.05, 11091398656.00,       6.49, 
35, 41, 000, 0, 1, 0078, 11, 002252, 000039, 0003808790, 040644, 0000, 0000, 000050, 000055,     113.08,      29.23,    -193.08,     -18.54,      12.01,       2.51,       6.47, 
35, 41, 000, 0, 1, 0078, 11, 002254, 000039, 0003808810, 040394, 0000, 0000, 000050, 000055,     233.85,      58.46,     293.85,     -18.86,      11.85,       2.54,       6.46, 
35, 41, 000, 0, 1, 0078, 11, 002255, 000039, 0003808820, 040568, 0000, 0000, 000050, 000055,     124.62,       7.69,    -176.15,     -18.77,      11.89,       2.61,       3.23, 
35, 41, 000, 0, 1, 0078, 11, 002256, 000039, 0003808830, 040498, 0000, 0000, 000042, 000055,    -232.31,    -160.00,     143.08,     -18.60,      11.98,       2.60,       6.45, 
35, 41, 000, 0, 1, 0078, 11, 002257, 000039, 0003808840, 040524, 0000, 0004, 000050, 000055,     226.92,      18.23,     286.15,      -4.65,      12.00,       0.00,       6.45, 
35, 41, 000, 0, 1, 0078, 11, 002301, 000039, 0020586176, 040507, 0000, 0000, 000048, 000053,     188.46,     -93.85,     225.38,     -19.00,      11.85,       2.51,       6.26, 
35, 41, 000, 0, 1, 0078, 11, 002275, 000039, 0003874556, 040511, 0000, 0000, 000043, 000052,     161.54,    -143.33,     182.31,     -19.08,      11.83,       2.53,       6.12, 
35, 41, 000, 0, 1, 0078, 11, 002276, 000039, 0003809030, 040588, 0000, 0000, 000047, 000052,     167.69,    -276.92,       0.77,     -19.06,      11.83,       2.61,       6.09, 
35, 41, 000, 0, 1, 0078, 11, 002277, 000039, 0003809040, 040507, 0000, 0000, 000046, 000052,      11.54,    -219.23,       0.00,      -4.72,      11.90,       2.10,       6.07, 
35, 41, 000, 0, 1, 0078, 11, 002278, 000039, 0003809050, 040395, 0000, 0000, 000046, 000051,     140.00,    -165.38,     166.92,     -18.76,      11.96,       2.54,       6.04, 
35, 41, 000, 0, 1, 0078, 11, 002280, 000039, 0003809070, 040500, 0000, 0032, 000045, 000050,      50.77,    -209.23,      73.08,     -19.05,      11.82,       2.49,       5.99, 
35, 41, 000, 0, 1, 0078, 11, 002285, 000039, 0003809120, 040690, 0000, 0000, 000044, 000049,     142.31,    -183.08,      87.69,     -19.00,      11.87,       2.48,       5.84, 
35, 41, 000, 0, 1, 0078, 11, 002299, 000039, 0003809260, 040395, 0000, 0000, 000039, 000044,      49.23,    -217.69,     -33.85,     -18.92,      23.82,       2.61,       5.34, 
35, 41, 000, 0, 1, 0078, 11, 002300, 008199, 0003809270, 040752, 0000, 0000, 000039, 000044,      30.00,    -222.31,     216.92,    -300.77,      11.94,       2.56,       5.28, 
35, 41, 000, 0, 1, 0078, 11, 002434, 000039, 0003809330, 040507, 0000, 0000, 000037, 000010, -439883921500716138496.00,    -231.54,   65772.31,     -18.83,      11.93,       2.53,       5.05, 
35, 41, 000, 0, 1, 0078, 11, 002310, 000039, 0003809370, 040588, 0000, 0001, 000035, 000040,     340.00,     -41.54,     136.15,     -18.90,      11.92,       2.60,       4.89, 
35, 41, 000, 0, 1, 0078, 11, 002315, 000039, 0003809420, 040395, 0000, 0000, 000033, 000038,    -125.38,    -222.31,     288.46,     -19.05,      11.84,       2.60,       4.67, 
35, 41, 000, 0, 1, 0078, 11, 002316, 000103, 0003809430, 048699, 0000, 0000, 000032, 000038,     366.92,       5.38,     291.38, -1235551.62,      11.95,       2.57,       4.62, 
35, 41, 000, 0, 1, 0078, 11, 002317, 000039, 0003809440, 040507, 0000, 0000, 002080, 000037,      21.54,    -134.62,    -213.11, -347270069176120639488.00,      11.85,       2.55,       4.57, 
35, 41, 000, 0, 1, 0078, 11, 002318, 000039, 0003809450, 040609, 0000, 0000, 000032, 000045,    -163.85,    -216.93, 23300568.00,     -18.96,      11.90,       2.47,       4.53, 
35, 41, 000, 0, 1, 0078, 11, 002320, 000039, 0003813566, 040395, 0000, 0000, 000031, 000036,      16.41,    -113.85,    -233.08,     -19.15,      11.80,       2.60,       4.44, 
35, 41, 000, 0, 1, 0078, 11, 002333, 000039, 0003809600, 040551, 0000, 0000, 000024, 000029,    -333.08,    -161.54,     269.23,     -18.76,      11.96,       2.59,       3.82, 
35, 41, 000, 0, 1, 0078, 11, 002312, 000039, 0003809710, 040604, 0000, 0000, 000023, 000024,      90.00,     142.31,    -326.15,     -18.86,      11.98,       2.62,       3.24, 
35, 41, 000, 0, 1, 0078, 11, 002356, 000055, 1077551654, 040609, 0000, 0000, 000012, 000017,     135.38,     277.69,    -299.23,     -18.76,      12.05,       2.59,       2.60, 
35, 41, 000, 0, 1, 0078, 11, 002357, 000039, 0003809840, 040586, 0000, 0000, 000012, 000017,    -506.92,      -2.31,     104.62,     -18.74,      12.04,       2.53,       2.55, 
35, 41, 000, 0, 1, 0078, 11, 002358, 000039, 0003809850, 040395, 0000, 0000, 000011, 000016,     151.54,     301.54,     453.85,     -18.92,      12.01,       2.49,       2.49, 
35, 41, 000, 0, 1, 0078, 11, 002359, 000039, 0003809860, 040395, 0000, 0000, 000011, 000016,     137.69,     313.85,    -283.85,     -19.02,      11.89,       2.52, 44898069137070227456.00, 
35, 41, 000, 0, 1, 0078, 11, 002360, 000039, 0020587086, 040609, 0000, 0000, 000007, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 002362, 000039, 0003809890, 040395, 0000, 0000, 000009, 000014,     146.92,      85.00,    -269.23,     -18.70,      12.08,       2.58,       2.25, 
35, 41, 000, 0, 1, 0078, 11, 002366, 000039, 0003809930, 040497, 0000, 0000, 000007, 000012,    -516.15,      73.85,      35.38,     -18.93,      11.96,       2.60,       2.04, 
35, 41, 000, 0, 1, 0078, 11, 002367, 000039, 0003809940, 040507, 0000, 0000, 000006, 000011,      47.69,     329.23,     463.86,     -18.78,       8.02,       2.60,       1.97, 
35, 41, 000, 0, 1, 0078, 11, 002368, 000295, 0003809950, 040588, 0000, 0000, 016390, 000011,     155.38,     397.69,    -222.31,     -18.67, 57018678766253365002240.00,       2.58,       1.92, 
35, 41, 000, 0, 1, 0078, 11, 002372, 000039, 0003809990, 040525, 0000, 0000, 000003, 000008,    -506.15,     123.85,     -12.31,     -18.87,      11.97,       2.62,       1.68, 
35, 41, 000, 0, 1, 0078, 11, 002373, 000039, 0003810000, 040497, 0000, 0000, 000003, 000008,     -26.92,     350.77,     461.54,     -18.70,      12.07,       2.58,       1.62, 
35, 41, 000, 0, 1, 0078, 11, 002377, 000039, 0003810040, 040500, 0000, 0000, 000000, 000005,     160.00,     466.92,    -147.69,     -18.98,      11.98,       2.56,       1.37, 
35, 41, 000, 0, 1, 0078, 11, 002378, 000039, 0003810050, 040584, 0000, 0000, 000000, 000005,    -480.00,     178.46,     -51.54,     -18.84,      12.02,       2.59,       1.34, 
35, 41, 000, 0, 1, 0078, 11, 002389, 000039, 0000002048, 036103, 0001, 0000, 000007, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 002421, 004135, 0003810480, 040497, 0000, 0000, -000026, -000028,    -243.85,      29.23,     244.62,     -17.31,      12.45,       2.74,      -1.17, 
35, 43, 000, 0, 1, 0078, 11, 002424, 000103, 0003810510, 040676, 0000, 0000, -000027, -000022,  -63803.08,     347.38,     236.15,     -17.43,      12.40,       2.60,      -1.31, 
35, 51, 000, 0, 1, 0078, 11, 002937, 000039, 0003810520, 040507, 0000, 0000, -000028, -000023,     -28.46,     690.31,      61.54,     -17.16,      12.51,       2.77,        NaN, 
35, 41, 000, 0, 1, 0078, 11, 002426, 000039, 0003810530, 040395, 0000, 0000, -000028, -000023,    -276.15,     463.85,     -33.85,     -16.77,      12.68,       2.72,      -1.39, 
35, 41, 000, 0, 1, 0078, 11, 002428, 016423, 0003810550, 040644, 0000, 0000, -000030, -000023,     -40.00,     818.28,      70.77,     -17.07,      12.53,       2.55,      -1.48, 
35, 41, 000, 0, 1, 0078, 11, 002439, 000039, 0003810660, 039474, 0000, 0000, -000033, -002076,    -221.54,     516.92,     170.77,     -16.04,      12.89,       2.75,      -1.83, 
35, 41, 000, 0, 1, 0078, 11, 002441, 000039, 0003810680, 040588, 0000, 0000, -000033, -000028,    -221.85,     516.15,       3.85,     -16.06,      12.86,       2.60,      -0.12, 
35, 41, 000, 0, 1, 0078, 11, 002442, 000039, 0003810690, 040644, 0000, 0000, -001057, -000028,    -233.85,  -33447.39, -3525090174684277509374586388480.00, 59107494546374656.00,      -0.00, 2580879577787664791124220374501294080.00, 3458026466640396288.00, 
35, 41, 000, 0, 1, 0078, 11, 002444, 000039, 0003810710, 040395, 0000, 0000, -000034, -000029,    -189.23,     524.62,      -0.77,     -15.60,      13.04,       2.71,      -1.95, 
35, 41, 000, 0, 1, 0078, 11, 002453, 000039, 0003810800, 040689, 0000, 0000, -000036, -000031,    -136.92,     531.54,     -20.77,     -14.95,      13.23,       2.71,      -4.46, 
35, 41, 000, 0, 1, 0078, 11, 002454, 000039, 0003810810, 040609, 0000, 0000, -000036, -002079,    -510.77,     496.92,     132.31,     -15.14,      13.16,       2.58,      -2.12, 
35, 41, 000, 0, 1, 0078, 11, 002455, 000039, 0003810820, 040609, 0000, 0000, -000036, -000031,     -55.38,     550.77,     161.54,     -15.29,      13.10,       2.68,      -2.15, 
35, 41, 000, 0, 1, 0078, 11, 002457, 000039, 0003810842, 040525, 0000, 0000, -000037, -000031,    -260.77,     493.85,     130.77,      -0.00,      13.30,       2.73,      -2.17, 
35, 41, 000, 0, 1, 0078, 11, 002458, 000039, 0003810850, 040395, 0000, 0000, -000037, -000032,     -32.31,     544.62,     172.31,     -14.70,      13.27,       2.62,      -2.18, 
35, 40, 000, 0, 1, 0078, 11, 002463, 000039, 0003810890, 040643, 0000, 0000, -000054, -000032, -6402363.50,     516.92,      -0.00,     -14.26,      13.39,       2.69,      -2.22, 
35, 41, 000, 0, 1, 0078, 11, 002464, 000039, 0003810910, 007619, 0000, 0000, -000038, -016416,       3.08,     533.08,     190.77,     -14.41,      13.35,       2.78,      -2.23, 
35, 41, 000, 0, 1, 0078, 11, 002467, 000039, 0003809916, 040588, 0000, 0000, -000038, -000033,      40.77,     526.92,     196.92,     -14.02,      13.43,       2.62,      -2.25, 
35, 41, 000, 0, 1, 0078, 11, 002468, 000039, 0008005254, 040609, 0000, 0000, -000038, -001057,     -96.15,    -492.31,     -95.38,     -14.07,      13.41,       2.76,      -2.26, 
35, 41, 000, 0, 1, 0078, 11, 002475, 000039, 0003811020, 040395, 0000, 0000, -000038, -000033,    -293.85,     415.38,     203.85,     -13.05,      13.65,       2.68,      -2.28, 
35, 41, 000, 0, 1, 0078, 11, 002476, 000039, 0003811030, 040525, 0000, 0000, -000294, -000033,     124.62,     488.46,     186.15,     -13.22,      13.61,       2.69,      -2.27, 
35, 41, 000, 0, 1, 0078, 11, 002477, 000039, 0003811040, 040507, 0000, 0000, -000038, -000033,    -110.00,     450.00,    -139.23,     -13.06,      13.63,       2.88,      -2.29, 
35, 10, 000, 0, 1, 0078, 11, 011436, 000039, 0003572950, 040526, 0000, 0000, 000086, 000092,    -176.15,     -56.15,     221.54,     -13.07,      14.95,       2.82,      10.12, 
35, 10, 000, 0, 1, 0078, 11, 011437, 000039, 0003572960, 040507, 0000, 0000, 000087, 000092,     189.23,     -16.15,     199.23,     -13.10,      14.91,       2.83,      10.17, 
35, 10, 000, 0, 1, 0078, 11, 011438, 000039, 0003572970, 040394, 0000, 0000, 000087, 000093,      70.00,     -22.31,    -109.23,     -13.06,      14.93,       2.85,      10.20, 
35, 10, 000, 0, 1, 0078, 11, 011439, 000039, 0003572980, 040589, 0000, 0000, 000088, 000093,    -226.92,     -80.00,      66.92,     -13.04,      14.93,       2.84,      10.24, 
35, 10, 000, 0, 1, 0078, 11, 011440, 000039, 0003572990, 040644, 0000, 0000, 000088, 000093,      40.00,     -46.15,     286.15,     -13.06,      14.90,       2.80,      10.30, 
35, 10, 000, 0, 1, 0078, 11, 011441, 000039, 0003573000, 040644, 0000, 0000, 000088, 000093,     198.46,     -28.46,       0.00,     -13.12,      14.89,       2.82,      10.33, 
35, 10, 000, 0, 1, 0078, 11, 011442, 000039, 0003573010, 040394, 0000, 0000, 000089, 000094,    -142.31,     -73.85,     -68.46,     -13.10,      14.90,       2.84,      10.37, 
35, 10, 000, 0, 1, 0078, 11, 011443, 000039, 0003573020, 040394, 0000, 0000, 000089, 000094,    -121.54,     -77.69,     251.54,     -13.05,      14.95,       2.82,      10.42, 
35, 10, 000, 0, 1, 0078, 11, 011444, 000039, 0003573030, 040644, 0000, 0000, 000089, 000095,     206.92,     -34.62,     150.00,     -13.10,      14.90,       2.79,      10.46, 
35, 10, 000, 0, 1, 0078, 11, 011445, 000039, 0003573040, 040644, 0000, 0000, 000090, 000095,      23.85,     -58.46,    -115.38,     -13.15,      14.90,       2.86,      10.49, 
35, 10, 000, 0, 1, 0078, 11, 011446, 000039, 0003573050, 040394, 0000, 0000, 000090, 000096,    -208.46,    -103.08,     120.77,     -13.06,      14.90,       2.85,      10.56, 
35, 10, 000, 0, 1, 0078, 11, 011447, 000039, 0003573060, 040589, 0000, 0000, 000091, 000096,      95.38,     -60.77,     264.62,     -13.08,      14.90,       2.82,      10.59, 
35, 10, 000, 0, 1, 0078, 11, 011448, 000039, 0003573070, 040531, 0000, 0000, 000091, 000097,     172.31,     -53.85,     -45.38,     -13.14,      14.90,       2.80,      10.63, 
35, 10, 000, 0, 1, 0078, 11, 011449, 000039, 0003573080, 040588, 0000, 0000, 000092, 000097,    -179.23,    -103.08,     -30.00,     -13.12,      14.89,       2.86,      10.69, 
35, 10, 000, 0, 1, 0078, 11, 011450, 000039, 0003573090, 040644, 0000, 0000, 000092, 000098,     -72.31,     -92.31,     278.46,     -13.08,      14.88,       2.86,      10.72, 
35, 10, 000, 0, 1, 0078, 11, 011451, 000039, 0003573100, 040394, 0000, 0000, 000093, 000098,     226.15,     -48.46,      98.46,     -13.10,      14.87,       2.85,      10.78, 
35, 10, 000, 0, 1, 0078, 11, 011452, 000039, 0003573110, 040394, 0000, 0000, 000093, 000098,     -36.15,     -85.38,    -113.85,     -13.15,      14.86,       2.82,      10.81, 
35, 10, 000, 0, 1, 0078, 11, 011453, 000039, 0003573120, 040589, 0000, 0000, 000093, 000099,    -190.77,    -116.15,     170.77,     -13.15,      14.88,       2.86,      10.87, 
35, 10, 000, 0, 1, 0078, 11, 011454, 000039, 0003573130, 040644, 0000, 0000, 000094, 000100,     153.08,     -65.38,     245.38,     -13.10,      14.92,       2.82,      10.90, 
35, 10, 000, 0, 1, 0078, 11, 011455, 000039, 0003573140, 040525, 0000, 0000, 000094, 000100,     130.00,     -69.23,     -86.15,     -13.09,      14.91,       2.81,      10.94, 
35, 10, 000, 0, 1, 0078, 11, 011456, 000039, 0003573150, 040588, 0000, 0000, 000095, 000100,    -214.62,    -122.31,      14.62,     -13.13,      14.87,       2.82,      11.00, 
35, 10, 000, 0, 1, 0078, 11, 011457, 000039, 0003573160, 040522, 0000, 0000, 000095, 000101,      -5.38,     -96.92,     293.08,     -13.15,      14.88,       2.82,      11.04, 
35, 10, 000, 0, 1, 0078, 11, 011458, 000039, 0003573170, 040588, 0000, 0000, 000096, 000101,     236.92,     -60.77,      46.92,     -13.10,      14.88,       2.84,      11.07, 
35, 10, 000, 0, 1, 0078, 11, 011459, 000039, 0003573180, 040507, 0000, 0000, 000096, 000102,     -98.46,    -105.38,    -108.46,     -13.10,      14.86,       2.82,      11.14, 
35, 10, 000, 0, 1, 0078, 11, 011460, 000039, 0003573190, 040394, 0000, 0000, 000097, 000102,    -169.23,    -119.23,     228.46,     -13.15,      14.83,       2.84,      11.18, 
35, 10, 000, 0, 1, 0078, 11, 011461, 000039, 0003573200, 041049, 0000, 0000, 000097, 000103,     205.38,     -62.31,     210.77,     -13.15,      14.84,       2.84,      11.22, 
