STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CMD_COUNT,CMD_ERROR_COUNT,TEMP_0,TEMP_1,MAG_0,MAG_1,MAG_2,GYRO_0,GYRO_1,GYRO_2,GYRO_TEMP,
35, 41, 000, 0, 1, 0078, 11, 007687, 000039, 0001569381, 040394, 0000, 0000, 000473, 000479,     304.62,    -110.00,     -73.85,     -27.24,     -29.08,     -25.82,      49.15, 
35, 41, 000, 0, 1, 0078, 11, 007688, 000039, 0001569391, 040498, 0000, 0000, 000472, 000478,     343.08,     354.62,     -27.69,     -25.46,      -8.82,     -26.52,      49.13, 
35, 41, 000, 0, 1, 0078, 11, 007689, 000039, 0001569401, 040525, 0000, 0000, 000472, 000478,     -21.54,     425.38,     263.08,      -4.70,     -12.99,     -25.30,      49.11, 
35, 41, 000, 0, 1, 0078, 11, 007690, 000039, 0001569411, 040500, 0000, 0000, 000472, 000478,    -140.77,     200.00,    -287.69,     -12.00,     -32.19,     -25.79,      49.10, 
35, 41, 000, 0, 1, 0078, 11, 007691, 000039, 0001569421, 040501, 0000, 0000, 000472, 000478,    -153.85,     153.85,     363.08,     -30.74,     -22.96,     -25.89,      49.09, 
35, 41, 000, 0, 1, 0078, 11, 007692, 000039, 0001569431, 040524, 0000, 0000, 000472, 000478,    -236.15,      -3.85,    -209.23,     -18.54,      -6.11,     -26.43,      49.08, 
35, 41, 000, 0, 1, 0078, 11, 007693, 000039, 0001569441, 040507, 0000, 0000, 000472, 000478,      73.08,    -256.92,     137.69,      -2.98,     -19.78,     -25.10,      49.07, 
35, 41, 000, 0, 1, 0078, 11, 007694, 000039, 0001569451, 040644, 0000, 0000, 000472, 000478,     407.69,      36.92,     120.00,     -19.40,     -32.97,     -25.91,      49.06, 
35, 41, 000, 0, 1, 0078, 11, 007695, 000039, 0001569461, 040622, 0000, 0000, 000472, 000478,     208.46,     386.15,    -190.77,     -30.49,     -15.81,     -26.20,      49.04, 
35, 41, 000, 0, 1, 0078, 11, 007696, 000039, 0001569471, 040507, 0000, 0000, 000471, 000478,     -32.31,     287.69,     367.69,     -11.15,      -7.20,     -25.93,      49.03, 
35, 41, 000, 0, 1, 0078, 11, 007697, 000039, 0001569481, 040588, 0000, 0000, 000471, 000478,     -50.77,     293.85,    -291.54,      -5.10,     -26.61,     -25.38,      49.03, 
35, 41, 000, 0, 1, 0078, 11, 007698, 000039, 0001569491, 040644, 0000, 0000, 000471, 000478,    -275.38,     223.08,     292.31,     -26.10,     -30.06,     -25.87,      49.02, 
35, 41, 000, 0, 1, 0078, 11, 007699, 000039, 0001569501, 040724, 0000, 0000, 000471, 000478,    -225.38,    -183.85,     -46.15,     -26.66,      -9.81,     -26.46,      49.01, 
35, 41, 000, 0, 1, 0078, 11, 007700, 000039, 0001569511, 040507, 0000, 0000, 000471, 000478,     229.23,    -221.54,     -36.15,      -5.56,     -11.62,     -25.34,      49.01, 
35, 41, 000, 0, 1, 0078, 11, 007701, 000039, 0001569521, 040497, 0000, 0000, 000471, 000478,     325.38,     192.31,     295.38,     -10.36,     -31.47,     -25.74,      48.99, 
35, 41, 000, 0, 1, 0078, 11, 007702, 000039, 0001569531, 040394, 0000, 0000, 000471, 000478,     153.08,     306.92,    -286.92,     -30.19,     -24.55,     -25.88,      49.00, 
35, 41, 000, 0, 1, 0078, 11, 007703, 000039, 0001569541, 040478, 0000, 0000, 000471, 000478,      93.08,     255.38,     388.46,     -20.31,      -6.42,     -26.47,      48.99, 
35, 41, 000, 0, 1, 0078, 11, 007704, 000039, 0001569551, 040479, 0000, 0000, 000471, 000478,    -145.38,     383.08,    -196.15,      -3.05,     -17.96,     -25.13,      48.96, 
35, 41, 000, 0, 1, 0078, 11, 007705, 000039, 0001569561, 040526, 0000, 0000, 000471, 000477,    -381.54,     115.38,     143.08,     -17.32,     -33.17,     -25.89,      48.98, 
35, 41, 000, 0, 1, 0078, 11, 007706, 000039, 0001569571, 040501, 0000, 0000, 000471, 000477,     -36.92,    -261.54,     144.62,     -30.96,     -17.82,     -26.07,      48.97, 
35, 41, 000, 0, 1, 0078, 11, 007707, 000039, 0001569581, 040524, 0000, 0000, 000471, 000477,     280.00,     -80.77,    -185.38,     -13.08,      -6.52,     -26.08,      48.96, 
35, 41, 000, 0, 1, 0078, 11, 007708, 000039, 0001569591, 040507, 0000, 0000, 000471, 000477,     155.38,     178.46,     394.62,      -4.13,     -24.80,     -25.27,      48.95, 
35, 41, 000, 0, 1, 0078, 11, 007709, 000039, 0001569601, 040526, 0000, 0000, 000471, 000477,     211.54,     254.62,    -274.62,     -24.28,     -31.30,     -25.87,      48.94, 
35, 41, 000, 0, 1, 0078, 11, 007710, 000039, 0001569611, 040479, 0000, 0000, 000471, 000477,     144.62,     383.08,     307.69,     -28.17,     -11.41,     -26.39,      48.93, 
35, 41, 000, 0, 1, 0078, 11, 007711, 000039, 0001569621, 040526, 0000, 0000, 000471, 000477,    -324.62,     326.15,     -39.23,      -7.03,      -9.95,     -25.52,      48.94, 
35, 41, 000, 0, 1, 0078, 11, 007712, 000039, 0001569631, 040598, 0000, 0000, 000471, 000477,    -353.85,     -51.54,     -30.00,      -8.43,     -30.23,     -25.62,      48.92, 
35, 41, 000, 0, 1, 0078, 11, 007713, 000039, 0001569641, 040507, 0000, 0000, 000470, 000477,     126.15,    -150.77,     310.77,     -29.24,     -26.46,     -25.82,      48.92, 
35, 41, 000, 0, 1, 0078, 11, 007714, 000039, 0001569651, 040501, 0000, 0000, 000470, 000477,     213.08,     -15.38,    -266.15,     -22.47,      -7.14,     -26.53,      48.92, 
35, 41, 000, 0, 1, 0078, 11, 007715, 000039, 0001569661, 040378, 0000, 0000, 000470, 000477,      91.54,      -6.15,     426.92,      -3.44,     -15.98,     -25.15,      48.93, 
35, 41, 000, 0, 1, 0078, 11, 007716, 000039, 0001569671, 052294, 0000, 0000, 000470, 000477,     215.38,     321.54,    -156.92,     -14.15,     -32.84,     -25.87,      48.91, 
35, 41, 000, 0, 1, 0078, 11, 007717, 000039, 0001569681, 040660, 0000, 0000, 000470, 000476,      13.85,     462.31,     180.00,     -31.10,     -19.63,     -26.04,      48.90, 
35, 41, 000, 0, 1, 0078, 11, 007718, 000039, 0001569691, 040394, 0000, 0000, 000470, 000476,    -375.38,     134.62,     161.54,     -14.90,      -6.13,     -26.25,      48.88, 
35, 41, 000, 0, 1, 0078, 11, 007719, 000039, 0001569701, 040497, 0000, 0000, 000470, 000476,    -220.77,    -103.85,    -177.69,      -3.48,     -23.11,     -25.22,      48.88, 
35, 41, 000, 0, 1, 0078, 11, 007720, 000039, 0001569711, 040644, 0000, 0000, 000470, 000476,      80.77,      15.38,     406.92,     -22.65,     -32.05,     -25.93,      48.88, 
35, 41, 000, 0, 1, 0078, 11, 007721, 000039, 0001569721, 040644, 0000, 0000, 000470, 000476,     162.31,     -74.62,    -260.00,     -29.12,     -12.76,     -26.37,      48.85, 
35, 41, 000, 0, 1, 0078, 11, 007722, 000039, 0001569731, 040519, 0000, 0000, 000469, 000476,     264.62,     -35.38,     314.62,      -8.20,      -8.91,     -25.67,      48.83, 
35, 41, 000, 0, 1, 0078, 11, 007723, 000039, 0001569741, 040525, 0000, 0000, 000469, 000475,     218.46,     480.77,       1.54,      -7.16,     -29.19,     -25.56,      48.82, 
35, 41, 000, 0, 1, 0078, 11, 007724, 000039, 0001569751, 040501, 0000, 0000, 000469, 000475,    -113.85,     510.00,     -13.85,     -28.30,     -27.82,     -25.86,      48.81, 
35, 41, 000, 0, 1, 0078, 11, 007725, 000039, 0001569761, 040588, 0000, 0000, 000469, 000475,    -236.92,      -6.15,     315.38,     -23.96,      -7.83,     -26.53,      48.79, 
35, 41, 000, 0, 1, 0078, 11, 007726, 000039, 0001569771, 040497, 0000, 0000, 000469, 000475,    -154.62,     -58.46,    -253.08,      -3.95,     -14.39,     -25.22,      48.77, 
35, 41, 000, 0, 1, 0078, 11, 007727, 000039, 0001569781, 040394, 0000, 0000, 000468, 000475,     -78.46,      43.08,     403.08,     -13.43,     -32.62,     -25.84,      48.75, 
35, 41, 000, 0, 1, 0078, 11, 007728, 000039, 0001569791, 040497, 0000, 0000, 000468, 000475,     268.46,    -115.38,    -159.23,     -30.95,     -21.52,     -25.96,      48.73, 
35, 41, 000, 0, 1, 0078, 11, 007729, 000039, 0001569801, 040552, 0000, 0000, 000468, 000475,     419.23,      73.08,     172.31,     -17.10,      -5.99,     -26.40,      48.71, 
35, 41, 000, 0, 1, 0078, 11, 007730, 000039, 0001569811, 040394, 0000, 0000, 000468, 000474,       6.92,     502.31,     173.85,      -3.00,     -21.00,     -25.16,      48.72, 
35, 41, 000, 0, 1, 0078, 11, 007731, 000039, 0001569821, 040394, 0000, 0000, 000468, 000474,    -207.69,     396.15,    -159.23,     -20.49,     -32.77,     -25.97,      48.67, 
35, 41, 000, 0, 1, 0078, 11, 007732, 000039, 0001569831, 040526, 0000, 0000, 000468, 000474,     -48.46,      43.08,     400.77,     -30.15,     -14.88,     -26.23,      48.66, 
35, 41, 000, 0, 1, 0078, 11, 007733, 000039, 0001569841, 040394, 0000, 0000, 000468, 000474,    -190.00,     -39.23,    -245.38,     -10.23,      -7.58,     -25.86,      48.66, 
35, 41, 000, 0, 1, 0078, 11, 007734, 000039, 0001569851, 040526, 0000, 0000, 000468, 000474,    -149.23,     -96.92,     320.00,      -5.47,     -27.23,     -25.41,      48.65, 
35, 41, 000, 0, 1, 0078, 11, 007735, 000039, 0001569861, 040506, 0000, 0000, 000468, 000474,     410.00,      -8.46,      -2.31,     -26.59,     -29.58,     -25.91,      48.64, 
35, 41, 000, 0, 1, 0078, 11, 007736, 000039, 0001569871, 040526, 0000, 0000, 000468, 000473,     420.77,     262.31,       2.31,     -26.18,      -9.33,     -26.55,      48.63, 
35, 41, 000, 0, 1, 0078, 11, 007737, 000039, 0001569881, 040526, 0000, 0000, 000468, 000473,    -151.54,     334.62,     313.85,      -5.25,     -11.97,     -25.36,      48.60, 
35, 41, 000, 0, 1, 0078, 11, 007738, 000039, 0001569891, 046170, 0000, 0000, 000467, 000473,    -196.92,     296.92,    -239.23,     -10.62,     -31.59,     -25.75,      48.60, 
