STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CMD_COUNT,CMD_ERROR_COUNT,TEMP_0,TEMP_1,MAG_0,MAG_1,MAG_2,GYRO_0,GYRO_1,GYRO_2,GYRO_TEMP,
35, 41, 000, 0, 1, 0078, 11, 014799, 000039, 0003115060, 039791, 0000, 0000, 000350, 000357,      31.54,    -135.38,     -44.62,     -17.45,       2.77,       3.08,      36.92, 
35, 41, 000, 0, 1, 0078, 11, 014800, 000039, 0003115070, 039463, 0000, 0000, 000349, 000357,     233.08,     -64.62,     123.08,     -17.82,       2.68,       3.01,      36.90, 
35, 41, 000, 0, 1, 0078, 11, 014801, 000039, 0003115080, 039726, 0000, 0000, 000349, 000357,      27.69,    -147.69,      -6.92,     -18.17,       2.55,       3.05,      36.89, 
35, 41, 000, 0, 1, 0078, 11, 014802, 000039, 0003115090, 040501, 0000, 0000, 000349, 000356,     240.77,     -60.77,      85.38,     -18.34,       2.45,       3.13,      36.87, 
35, 41, 000, 0, 1, 0078, 11, 014803, 000039, 0003115100, 040743, 0000, 0000, 000349, 000356,      26.15,    -152.31,      24.62,     -18.26,       2.53,       3.26,      36.85, 
35, 41, 000, 0, 1, 0078, 11, 014804, 000039, 0003115110, 040507, 0000, 0000, 000349, 000356,     232.31,     -63.85,      55.38,     -17.95,       2.66,       3.30,      36.82, 
35, 41, 000, 0, 1, 0078, 11, 014805, 000039, 0003115120, 040519, 0000, 0000, 000349, 000356,      24.62,    -146.15,      57.69,     -17.77,       2.72,       3.20,      36.80, 
35, 41, 000, 0, 1, 0078, 11, 014806, 000039, 0003115130, 040507, 0000, 0000, 000348, 000356,     236.15,     -61.54,      29.23,     -17.76,       2.73,       3.09,      36.79, 
35, 41, 000, 0, 1, 0078, 11, 014807, 000039, 0003115140, 040500, 0000, 0000, 000348, 000355,      30.77,    -137.69,      77.69,     -18.07,       2.62,       2.99,      36.76, 
35, 41, 000, 0, 1, 0078, 11, 014808, 000039, 0003115150, 040507, 0000, 0000, 000348, 000355,     231.54,     -57.69,       6.92,     -18.40,       2.49,       3.01,      36.73, 
35, 41, 000, 0, 1, 0078, 11, 014809, 000039, 0003115160, 040500, 0000, 0000, 000348, 000355,      50.00,    -139.23,     106.92,     -18.62,       2.38,       3.12,      36.70, 
35, 41, 000, 0, 1, 0078, 11, 014810, 000039, 0003115170, 040507, 0000, 0000, 000348, 000354,     216.92,     -59.23,     -16.15,     -18.53,       2.40,       3.21,      36.66, 
35, 41, 000, 0, 1, 0078, 11, 014811, 000039, 0003115180, 040501, 0000, 0000, 000348, 000354,      61.54,    -118.46,     122.31,     -18.30,       2.52,       3.28,      36.65, 
35, 41, 000, 0, 1, 0078, 11, 014812, 000039, 0003115190, 040694, 0000, 0000, 000347, 000354,     190.00,     -72.31,     -37.69,     -18.00,       2.65,       3.26,      36.61, 
35, 41, 000, 0, 1, 0078, 11, 014813, 000039, 0003115200, 040507, 0000, 0000, 000347, 000353,      70.00,    -113.08,     143.85,     -17.95,       2.71,       3.14,      36.56, 
