TARGET,PACKET,STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,GEIGER_HEADER_EXP_STATUS,GEIGER_HEADER_EXP_NUMBER,GEIGER_HEADER_SYNC_CFE_ELAPSED_SECONDS,GEIGER_HEADER_SYNC_CFE_ELAPSED_SUBSECONDS,GEIGER_HEADER_SYNC_FIRMWARE_TIME,GEIGER_HEADER_COMMAND_TIME,GEIGER_HEADER_PAYLOAD_SIZE,GEIGER_DATA_START_TM,GEIGER_DATA_STOP_TM,GEIGER_DATA_0_COUNTS,GEIGER_DATA_0_OVERFLO,GEIGER_DATA_1_COUNTS,GEIGER_DATA_1_OVERFLO,Unnamed: 26,CCSDS_SECONDS_SUBSECS
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,32.0,43.0,2335172.0,39954.0,0.0,1.0,2335157.0,1254617088.0,721576.0,736788.0,18.0,721686.0,736790.0,1279.0,0.0,654.0,0.0,,2335172.0-39954.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,33.0,43.0,2335196.0,22933.0,0.0,1.0,2335181.0,137674752.0,745321.0,760531.0,18.0,745430.0,760534.0,1178.0,0.0,603.0,0.0,,2335196.0-22933.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,34.0,43.0,2335220.0,64244.0,0.0,1.0,2335205.0,2850877440.0,769953.0,785164.0,18.0,770064.0,785168.0,1343.0,0.0,708.0,0.0,,2335220.0-64244.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,36.0,43.0,2335268.0,30769.0,0.0,1.0,2335253.0,648634368.0,817443.0,832654.0,18.0,817552.0,832656.0,1354.0,0.0,690.0,0.0,,2335268.0-30769.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,40.0,43.0,2335364.0,11206.0,0.0,1.0,2335348.0,3638538240.0,913148.0,928358.0,18.0,913257.0,928361.0,1994.0,0.0,1068.0,0.0,,2335364.0-11206.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,41.0,43.0,2335388.0,22223.0,0.0,1.0,2335372.0,2513412096.0,936885.0,952531.0,18.0,937221.0,952536.0,1474.0,0.0,763.0,0.0,,2335388.0-22223.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,42.0,43.0,2335412.0,10636.0,0.0,1.0,2335396.0,3625779200.0,961150.0,976357.0,18.0,961255.0,976360.0,1497.0,0.0,759.0,0.0,,2335412.0-10636.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,43.0,43.0,2335435.0,58472.0,0.0,1.0,2335420.0,2461921280.0,984877.0,1000089.0,18.0,984989.0,1000093.0,1303.0,0.0,944.0,0.0,,2335435.0-58472.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,44.0,43.0,2335460.0,16926.0,0.0,1.0,2335444.0,1599709184.0,1008680.0,1024462.0,18.0,1009093.0,1024467.0,1222.0,0.0,619.0,0.0,,2335460.0-16926.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,47.0,43.0,2335532.0,28265.0,0.0,1.0,2335516.0,1865256960.0,1081034.0,1096647.0,18.0,1081355.0,1096649.0,972.0,0.0,500.0,0.0,,2335532.0-28265.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,49.0,43.0,2335580.0,31985.0,0.0,1.0,2335565.0,654831616.0,1129488.0,1144710.0,18.0,1129604.0,1144718.0,677.0,0.0,344.0,0.0,,2335580.0-31985.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,53.0,43.0,2335677.0,17714.0,0.0,1.0,2335661.0,2036867072.0,1225815.0,1241499.0,18.0,1226189.0,1241504.0,497.0,0.0,248.0,0.0,,2335677.0-17714.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,54.0,43.0,2335701.0,9771.0,0.0,1.0,2335685.0,3454201856.0,1250145.0,1265378.0,18.0,1250253.0,1265378.0,367.0,0.0,181.0,0.0,,2335701.0-9771.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,56.0,43.0,2335749.0,6426.0,0.0,1.0,2335733.0,1247637504.0,1297631.0,1313329.0,18.0,1298012.0,1313337.0,333.0,0.0,166.0,0.0,,2335749.0-6426.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,59.0,43.0,2335821.0,10570.0,0.0,1.0,2335805.0,3626684416.0,1370196.0,1385405.0,18.0,1370304.0,1385409.0,217.0,0.0,106.0,0.0,,2335821.0-10570.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,62.0,43.0,2335893.0,14385.0,0.0,1.0,2335877.0,1837203456.0,1441783.0,1457465.0,18.0,1442166.0,1457471.0,175.0,0.0,90.0,0.0,,2335893.0-14385.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,64.0,43.0,2335941.0,30674.0,0.0,1.0,2335925.0,4183343104.0,1490330.0,1505714.0,18.0,1490616.0,1505720.0,148.0,0.0,79.0,0.0,,2335941.0-30674.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,65.0,43.0,2337832.0,7846.0,0.0,1.0,2337816.0,3400290304.0,986.0,16204.0,18.0,1100.0,16215.0,1381.0,0.0,942.0,0.0,,2337832.0-7846.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,67.0,43.0,2337906.0,3870.0,0.0,1.0,2337890.0,3123109888.0,25016.0,40237.0,18.0,25128.0,40244.0,1396.0,0.0,719.0,0.0,,2337906.0-3870.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,70.0,43.0,2337977.0,39263.0,0.0,1.0,2337962.0,1190838272.0,96569.0,111781.0,18.0,96680.0,111785.0,1256.0,0.0,644.0,0.0,,2337977.0-39263.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,73.0,43.0,2338048.0,56218.0,0.0,1.0,2338033.0,2126897152.0,167788.0,183042.0,18.0,167912.0,183047.0,3473.0,0.0,2428.0,0.0,,2338048.0-56218.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,74.0,43.0,2338072.0,57035.0,0.0,1.0,2338057.0,1202962432.0,191579.0,207060.0,18.0,191686.0,207071.0,4856.0,0.0,4153.0,0.0,,2338072.0-57035.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,77.0,43.0,2338144.0,58370.0,0.0,1.0,2338129.0,824819712.0,263494.0,278834.0,18.0,263608.0,278843.0,2363.0,0.0,1417.0,0.0,,2338144.0-58370.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,80.0,43.0,2338216.0,58878.0,0.0,1.0,2338201.0,2417537024.0,335880.0,351106.0,18.0,335990.0,351115.0,1059.0,0.0,542.0,0.0,,2338216.0-58878.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,81.0,43.0,2338241.0,23686.0,0.0,1.0,2338225.0,2900275200.0,359998.0,375571.0,18.0,360264.0,375579.0,984.0,0.0,477.0,0.0,,2338241.0-23686.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,82.0,43.0,2338265.0,6802.0,0.0,1.0,2338249.0,3359096832.0,384103.0,399311.0,18.0,384219.0,399313.0,865.0,0.0,435.0,0.0,,2338265.0-6802.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,83.0,43.0,2338288.0,56233.0,0.0,1.0,2338273.0,2264825856.0,407849.0,423069.0,18.0,407972.0,423077.0,785.0,0.0,401.0,0.0,,2338288.0-56233.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,86.0,43.0,2338360.0,49247.0,0.0,1.0,2338345.0,1855926272.0,479767.0,494978.0,18.0,479875.0,494979.0,510.0,0.0,252.0,0.0,,2338360.0-49247.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,89.0,43.0,2338432.0,55370.0,0.0,1.0,2338417.0,2251718656.0,551875.0,567081.0,18.0,551987.0,567081.0,324.0,0.0,180.0,0.0,,2338432.0-55370.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,93.0,43.0,2338529.0,6638.0,0.0,1.0,2338513.0,1496715264.0,647707.0,663354.0,18.0,648024.0,663358.0,288.0,0.0,136.0,0.0,,2338529.0-6638.0
